source_title,previous_date,current_date,gap_days,previous_movie_key,current_movie_key,predicted_same_run,expected_same_period,review_notes
Crash,2005-09-15,2006-03-10,176,6622,6622,True,,
The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,2018-01-21,2018-07-16,176,6588,6588,True,,
The Grand Budapest Hotel,2014-07-24,2015-01-16,176,2940,2940,True,,
Box Elder,2009-03-07,2009-08-25,171,323,323,True,,
Far from Vietnam,2014-03-02,2014-08-16,167,3484,3484,True,,
A Grin Without A Cat,2003-09-07,2004-02-20,166,1898,1898,True,,
The Cremaster Cycle,2003-05-02,2003-10-13,164,3037,3037,True,,
City of God,2003-05-03,2003-10-13,163,6028,6028,True,,
Embrace: The Documentary,2017-06-28,2017-12-06,161,2673,2673,True,,
Owning Mahowny,2003-05-05,2003-10-13,161,16,16,True,,
Teeth,2008-09-04,2009-03-06,183,854,488,False,,
Metal Messiah,2010-10-07,2011-04-11,186,903,4480,False,,
On Tour with Pina Bausch,2015-05-31,2015-12-04,187,3555,5916,False,,
Far from Vietnam,2014-08-16,2015-02-21,189,3484,961,False,,
Born to Be Wild,2016-07-04,2017-01-16,196,6081,4642,False,,
Enlighten Up!,2008-09-14,2009-04-01,199,2852,2081,False,,
On Tour with Pina Bausch,2014-10-28,2015-05-18,202,5717,3555,False,,
Beauty and the Beast2000 IMAX Release,2002-01-21,2002-09-02,224,2441,4563,False,,
A Grin Without A Cat,2005-08-27,2006-04-09,225,295,2817,False,,
Twilight,2009-04-02,2009-11-19,231,3344,1266,False,,
