movie_key,source_title,run_start_date,run_end_date,revenue,match_status,predicted_imdb_id,sample_group,expected_imdb_id,review_notes
5671,The Lion King,2019-07-19,2019-12-05,543638043,ambiguous,,ambiguous,,
548,Beauty and the Beast,2017-03-17,2017-07-13,504014165,ambiguous,,ambiguous,,
5442,Aladdin,2019-05-24,2019-10-24,355559216,ambiguous,,ambiguous,,
1561,American Sniper,2014-12-25,2015-06-25,350126444,ambiguous,,ambiguous,,
3244,Frozen,2010-02-05,2010-03-28,246176,ambiguous,,ambiguous,,
3564,Joker,2012-08-31,2012-09-19,169181,ambiguous,,ambiguous,,
943,Frozen,2013-11-22,2014-05-01,400227936,matched,tt2294629,multiple_periods,,
2787,Joker,2019-10-04,2020-03-05,335451311,matched,tt7286456,multiple_periods,,
4512,Iron Man,2008-05-01,2008-10-02,318313199,matched,tt0371746,multiple_periods,,
6472,Venom,2018-10-05,2019-01-24,213515506,pending,,multiple_periods,,
3122,Coco,2017-11-22,2018-04-26,209726015,pending,,multiple_periods,,
3344,Twilight,2008-11-21,2009-04-02,191465413,pending,,multiple_periods,,
1473,Get Out,2017-02-24,2017-06-08,175484140,pending,,multiple_periods,,
3154,Halloween,2018-10-19,2019-01-03,159342015,pending,,multiple_periods,,
6364,The Proposal,2009-06-19,2009-09-07,158534118,pending,,multiple_periods,,
463,Star Wars: Episode VII - The Force Awakens,2015-12-18,2016-05-30,935644139,matched,tt2488496,matched,,
5,Avengers: Endgame,2019-04-26,2019-09-12,858373000,matched,tt4154796,matched,,
618,Spider-Man: No Way Home,2021-12-17,2022-06-30,804059711,matched,tt10872600,matched,,
1558,Avatar,2009-12-18,2010-08-08,749766139,matched,tt0499549,matched,,
6071,Top Gun: Maverick,2022-05-27,2022-12-15,716981130,matched,tt1745960,matched,,
5004,Black Panther,2018-02-16,2018-08-09,700059566,matched,tt1825683,matched,,
6104,Avengers: Infinity War,2018-04-27,2018-09-13,678815482,matched,tt4154756,matched,,
2419,Avatar: The Way of Water,2022-12-16,2023-03-06,670104560,matched,tt1630029,matched,,
3411,Gravity,2013-10-04,2014-05-08,274092705,pending,,pending,,
485,Dr. Seuss' the Grinch,2018-11-09,2019-02-14,270620950,pending,,pending,,
5218,Sing,2016-12-21,2017-05-04,270329045,pending,,pending,,
980,Shrek,2001-05-16,2001-12-06,267665011,pending,,pending,,
942,Despicable Me 3,2017-06-30,2017-12-21,264624300,pending,,pending,,
4645,Monsters University,2013-06-21,2013-09-12,263763344,pending,,pending,,
2003,Harry Potter and the Chamber of Secrets,2002-11-15,2003-05-04,261753713,pending,,pending,,
